 Setting,  Loss,    Acc,Main,  Negative,  Short,  Short, YesNo, Wrong Long, Wrong Short, Wrong Short, Wrong Short,                                   Remark,
      - ,    - ,      -,  - ,        - ,     01,     02,    - ,         - ,          01,          02,       YesNo,                                         ,
S01-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S02-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S03-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S04-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S05-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S06-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S07-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S08-Sh01,  0.00,  0.000,  na,        na,     na,     na,    na,         na,          na,          na,          na,                                       "",
S09-Sh01,  1.23,  1.000,  A+,        A+,     A+,     A+,    A+,         A+,          A+,          A+,          A+,"So great! Light weight model, about 66M",
